baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene
gene451:LOC106582172	19.7106060030615	-5.27028202443255	1.06848644958071	-4.93247436736394	8.1194437381701e-07	3.80406893835423e-06	LOC106582172
gene454:LOC106583826	1621.77758536768	2.43569716180176	0.289132985659827	8.42414142489926	3.6340511789007e-17	6.00907529305079e-16	cep170b
gene456:LOC106582486	70.8646576567041	-1.12757845877875	0.505801789176143	-2.22928918581994	0.025794669712297	0.0490406241653447	cep170b
gene461:LOC100380739	172.107370944514	4.1438697947322	0.381537187307274	10.8609853314112	1.76830795021331e-27	7.5748117055634e-26	INF2
gene462:LOC106582786	79.7429427907734	4.4910051923935	0.622923699982438	7.20955903992754	5.61333558414967e-13	5.90577648066345e-12	LOC106582786
gene466:LOC106583235	19.8237007128812	7.029921428087	1.05272241040671	6.67784912584034	2.42474466628287e-11	2.10127828537325e-10	LOC106583235
gene476:LOC106587081	30.0234405880541	-3.26400413469099	0.809195624981322	-4.03364036325126	5.4919350366485e-05	0.000189209639286576	RYR3
gene478:LOC106587488	76.7713912240382	-2.0170034749022	0.314315253642064	-6.41713519000616	1.38862603709933e-10	1.09064383850657e-09	zgc:194887
gene479:LOC106587544	20.4042022111977	-2.32570134498456	0.795137364990543	-2.92490511373745	0.0034456126767083	0.00820121777844351	LOC106587544
gene480:LOC100195074	258.481981959242	-1.39279106615067	0.174500531328674	-7.98158639143238	1.44464412427429e-15	2.00806217615256e-14	acp7
gene491:LOC106588489	25.6736594023981	-3.09532007817177	0.746128078208912	-4.14851038122318	3.34645674485846e-05	0.000120131001057477	SIPA1L1
gene492:LOC106588600	21.5613722592958	2.34358273339526	0.690959589198399	3.39177973651703	0.000694402385814023	0.00191610393144075	LOC106588600
gene497:LOC106589077	16.3349911671018	-6.2739777721884	1.17355148906067	-5.34614614754584	8.98466714428139e-08	4.83471644992938e-07	DLL4
gene499:LOC106589171	201.63643796152	-3.47988290453354	0.553416805501047	-6.28799644308409	3.21589278833378e-10	2.39806714328026e-09	RASGRP1
gene511:LOC106599825	77.2683755281151	-9.98044655113269	1.25570960060999	-7.94805307396268	1.89465485544286e-15	2.60886238494885e-14	si:ch211-173a9.6
gene520:LOC106591002	190.409977457651	1.91393618770608	0.460498137240606	4.15623003205779	3.23542075189012e-05	0.00011634430284646	ERG28
gene522:LOC100286734	31.7580991616361	2.9279765447971	0.590477239350449	4.95866114673278	7.09806476914476e-07	3.35878913918746e-06	atf3
gene526:LOC106591546	67.8289380451738	-1.29140255229041	0.280696400792255	-4.60070933808014	4.21054626702211e-06	1.75671916839513e-05	ttc8
gene527:LOC106591625	91.8186018894451	-3.71195855754601	0.440991102995263	-8.41730940223955	3.85229299893417e-17	6.35758343463023e-16	LOC106591625
gene529:LOC100195561	2517.61970497329	1.67615068537172	0.248105761531107	6.75579105873188	1.42058016713266e-11	1.26737865138868e-10	npc2
gene531:LOC106591759	1229.98285887317	-1.15120578103721	0.222741377264082	-5.16835172331877	2.3616754633104e-07	1.19645447375547e-06	atg2b
gene536:LOC106592678	43.1238620814254	-2.96492570233214	0.593905168239807	-4.99225442189613	5.96785695373913e-07	2.85575385834258e-06	aldh6a1
gene551:LOC106594164	157.689539646712	-1.09486112865291	0.289075193440218	-3.7874613716356	0.000152194336980483	0.000481025250971383	peli2
gene558:LOC106595174	42.439720329855	1.09924216379894	0.338558476138365	3.24683102410259	0.00116697652352235	0.00306888260707262	LOC106595174
gene562:LOC106595839	19.6840610790318	-5.81431736427978	0.950704072180377	-6.11580147221314	9.60728703318287e-10	6.74902138890795e-09	LOC106595839
gene567:LOC106596263	11.6331687953916	-2.64295888270552	0.65199549485768	-4.05364592784867	5.04255200214371e-05	0.000174897876358041	si:ch1073-416d2.3
gene577:LOC106597151	611.46648257907	1.46595449351026	0.213316427979239	6.87220626839364	6.32164549566073e-12	5.86827091993587e-11	itpk1b
gene578:LOC106597310	538.429124234151	1.3666163792648	0.225544833758422	6.05917837483506	1.36818603454812e-09	9.41305575890865e-09	LOC106597310
gene580:LOC106597416	280.869895123229	-6.78904325725494	1.3897137258861	-4.88520990387869	1.03318724128988e-06	4.76454710375119e-06	hspa4l
gene586:LOC106598081	15.7359488890883	-1.79172012547698	0.5474482981559	-3.27285723877937	0.00106466237128298	0.00282003863157218	zfyve28
gene587:LOC106598245	12.5823011383877	-6.87149737768186	0.9934669024175	-6.91668475412797	4.62335340769271e-12	4.35935279697709e-11	LOC106598245
gene589:LOC106598432	61.1722765671129	-2.03866807574671	0.358408453529454	-5.68811381447837	1.28450206188783e-08	7.77938988688848e-08	LOC106598432
gene592:LOC106598511	173.601753581076	-10.1856646473137	0.916721127908424	-11.1109740325862	1.10942696624343e-28	5.29035254322698e-27	RTN1
gene603:LOC106598906	356.810792593639	1.30283216434156	0.264366396181991	4.9281307426254	8.30200579854458e-07	3.88560570155104e-06	prkcha
gene604:LOC106598919	5357.61298181192	-1.0739228293244	0.1703627610758	-6.30374163075799	2.90544679085793e-10	2.17986512871757e-09	hif1ab
gene606:LOC106598965	43.0022074291906	-5.09477912980119	0.70567112660434	-7.21976419003715	5.2077800677761e-13	5.4968305945595e-12	LOC106598965
gene612:LOC106599102	56.0427945726901	-9.0332006553677	0.940446204627914	-9.60522846592982	7.59892198113225e-22	1.97323157249879e-20	LOC106599102
gene613:LOC100846972	38.8644216577068	-3.51699555433918	0.38837398552345	-9.05569292855436	1.35703401333302e-19	2.88337791840918e-18	esr2b
gene614:LOC106599208	91.0980036760754	-3.49799053016114	1.29293058295152	-2.70547435128024	0.00682069152491098	0.0151197062336982	LOC106599208
gene616:LOC106599225	12.1681746904023	-1.73582882461102	0.568095088133691	-3.05552514159834	0.00224666765833765	0.00557072579842839	LOC106599225
gene619:LOC100380464	584.658752504906	1.01513651036226	0.356919210965459	2.84416327049568	0.00445282241581655	0.0103327971694147	klc1
gene621:LOC100380758	1052.10136347729	-1.33356385082029	0.141014572480107	-9.45692226956488	3.17140362494489e-21	7.72269681051933e-20	bag5
gene622:LOC106586281	14.8330853992281	1.29377302066232	0.565986818003098	2.28587129507182	0.0222617892001846	0.0430775310275004	LOC106586281
gene623:LOC106599441	1262.32102541456	-1.53699425930311	0.554301491652549	-2.77284886014079	0.00555679225375315	0.0125851308352793	KCRT
gene627:LOC100195225	8736.75092486048	1.27439195118793	0.500600975067837	2.54572406898575	0.0109051351095886	0.0229774008682435	tnfaip2
gene632:LOC106599591	175.427433472624	1.08658086601294	0.24508515585769	4.43348297537804	9.27228324135059e-06	3.67224466393508e-05	LOC106599591
gene641:LOC100196755	1470.04084647494	1.21072716397252	0.229319748197229	5.27964631694616	1.29433485171933e-07	6.79421602039359e-07	enpp4
gene688:LOC106600509	824.663409425926	-9.43704573367178	0.911459164534361	-10.3537778771393	4.02291270550458e-25	1.42222081346531e-23	adh8b
gene692:LOC106600514	46.4276317315819	-6.19632009177022	0.959575914798686	-6.4573526661204	1.06550400042482e-10	8.47062689906953e-10	enpep
gene697:LOC106600549	261.651647409578	1.52718494178402	0.412566408196204	3.70167059519235	0.000214184573235375	0.000657411834432997	commd8
gene698:LOC106600563	258.747252684645	2.75929436715356	0.319372909986302	8.63972579036811	5.63480986896221e-18	1.02000139410832e-16	atp10d
gene699:LOC100196542	389.907211336308	1.98909560274384	0.416883622457358	4.77134503634116	1.82999745362831e-06	8.10040960654934e-06	dapp1
gene703:LOC106600595	3492.90421799707	2.06258662085403	0.503540675285666	4.0961668482569	4.20047246210122e-05	0.00014785804157322	DCOR1
gene706:LOC100196345	25.8230846795426	-1.34814545679375	0.591329238186483	-2.27985590722405	0.022616235903949	0.0436827415830422	cssa01h2orf50
gene709:LOC106600658	26.1326979422701	-4.48971628718275	0.742926081948526	-6.04328801515117	1.51004738959098e-09	1.03261059316635e-08	sobp
gene716:LOC106600357	35.0982307970181	-1.6116298446425	0.510960384972939	-3.15411897289817	0.00160983442971598	0.00411511208913286	LOC106600357
gene720:LOC106601624	799.356826175273	-2.67507624012583	0.283976253772626	-9.42007018047258	4.50786622382508e-21	1.08599604766584e-19	lbh
gene721:LOC106600889	63.7665742552172	-1.44799542733858	0.389481480389479	-3.71775167818145	0.000201003701282403	0.000620847537550479	LOC106600889
gene726:LOC106601584	44.806985153466	-2.71090773452256	0.71979505069907	-3.76622169309126	0.000165736639697563	0.000520234941473673	fermt2
gene727:LOC106601569	23.5130197394055	-3.74700562050045	0.642136025448794	-5.83522099991452	5.37193160642235e-09	3.43567107949545e-08	stxbp6
gene730:LOC106601549	245.791887031468	3.95406539721562	0.575673423401101	6.86859117771122	6.48390266725638e-12	6.00559204435934e-11	LOC106601549
gene739:LOC106601406	80.9488909547668	-1.12920615610128	0.416356866207821	-2.71211128661355	0.00668561430681384	0.01484944217734	ptpn21
gene748:LOC106601354	17.4771123260166	2.64314780770391	0.726083670038034	3.64027992471647	0.000272341799335092	0.000819035094587435	LOC106601354
gene754:LOC106601343	591.720631141681	-1.618300540081	0.263057764731919	-6.15188280691963	7.65684503405557e-10	5.45724566029372e-09	ccdc88c
gene755:LOC106601320	20.4884438290847	-1.99318053565537	0.497572924825293	-4.00580585520245	6.18064001152699e-05	0.000210368309776402	LOC106601320
gene757:LOC106601300	36.4931349850951	1.3125263217991	0.585370700578258	2.24221390052922	0.0249475511843452	0.0476151941200884	LOC106601300
gene763:LOC106601253	125.48542952522	-1.00464557486877	0.221421874435501	-4.5372462744706	5.69935366922208e-06	2.33211734368963e-05	LOC106601253
gene764:LOC106601279	28.6481143316171	-1.48489917126757	0.493303372608116	-3.01011356037734	0.0026115002970277	0.00638204823983374	LOC106601279
gene765:LOC106601272	2042.30027184123	-1.60796756917904	0.253776439333389	-6.33615781434556	2.35565509914031e-10	1.79258266530275e-09	CALM
gene768:LOC106601227	118.762555606703	-1.17239421525226	0.335658070896904	-3.4928229555736	0.000477943270613539	0.00136409779103327	LOC106601227
gene771:LOC106601178	1361.54743844848	-1.18524688916375	0.225716042811514	-5.25105293536227	1.51232206438824e-07	7.86252061221549e-07	nfkbiab
gene775:LOC106601171	41.245349299981	1.2217587700816	0.518451027904582	2.35655578699413	0.0184452968426897	0.0365357327700177	fam177a1
gene776:LOC106601170	577.403627720155	-1.59129756184767	0.206843483336663	-7.69324484473914	1.43449623033787e-14	1.79805309213174e-13	fbxo33
gene778:LOC106601129	17.8767429546473	-5.97227133567138	0.987935171073356	-6.04520570836922	1.49219490161565e-09	1.02183138852061e-08	LOC106601129
gene784:LOC106601075	385.493995790244	-4.69135725507979	0.561782386728643	-8.35084432318782	6.77767046666251e-17	1.08498191218373e-15	daam1a
gene785:LOC106601062	33.98885924069	-8.79529821727386	1.13116545997173	-7.77543032253978	7.51913578470423e-15	9.65575498164448e-14	sdsl
gene786:LOC106601027	13.2170379169459	-4.09066674026978	1.24367204089209	-3.28918445198425	0.00100478152269075	0.00268054406948947	ppp1r13ba
gene796:LOC106600929	117.829387505971	-4.54861108558923	0.604313197763288	-7.52691005661429	5.19551321789694e-14	6.14477808757557e-13	sptbn5
gene799:LOC106600894	26.8515539914747	2.54797119978549	0.534204792174556	4.769652457466	1.84544030161749e-06	8.16137976945921e-06	prkd1
gene807:LOC100195921	111.74477762402	1.02398882583938	0.252682506859519	4.05247216582617	5.06792549837158e-05	0.00017569679201823	ap4s1
gene834:LOC106602221	15.8121045387363	-2.50211438877982	0.861870820495876	-2.90311996795556	0.00369465076927794	0.00872111153752093	dact1
gene836:LOC106602243	15.6984491392202	-7.19292713618907	1.79458597575089	-4.00812623824246	6.12024048199801e-05	0.000208464321958144	LOC106602243
gene838:LOC106602264	202.1200096297	-1.47555641321034	0.282302181956349	-5.22686860932054	1.72404922259639e-07	8.90020695613054e-07	ATG14
gene847:LOC100196261	194.698862984853	1.38994228953912	0.307238207311	4.52398906276705	6.06848616550436e-06	2.4704160593007e-05	haus2
gene849:LOC100380355	11.3055228755822	-2.97913510946649	0.778087125164957	-3.82879373416557	0.000128772874500361	0.000412554040448094	hipl1
gene853:LOC106601761	524.747370019672	-3.60407541875893	0.35926434802444	-10.0318204090592	1.10460987088086e-23	3.39398611950335e-22	BCL11B
gene855:LOC106602366	287.75320428859	1.32058488685984	0.336570514389201	3.92364996457398	8.72174318094835e-05	0.000289079532541023	vrk1
gene858:LOC100195231	410.251198300649	1.05304569253783	0.292051652126441	3.60568305253731	0.000311332938370019	0.000924604556839658	galc
gene862:LOC106602440	47.0088695002732	-3.58751198144483	0.605299955648892	-5.92683337899629	3.0883205060213e-09	2.03094102662893e-08	clmn
gene863:LOC106602443	1754.39149834419	1.82436149201704	0.13774187624018	13.2447846785237	4.83667010661053e-40	5.69969521840453e-38	syne3
gene865:LOC106602463	149.795733775852	5.00177408404637	0.690881617853612	7.23969773517143	4.49685814426158e-13	4.77047391637988e-12	rragd
gene867:LOC106602505	47.1088156572779	-8.78666047358898	0.971619048315476	-9.04331845780779	1.51986298190431e-19	3.20383185905302e-18	catsperb
gene869:LOC106602535	301.398301373006	-1.39059801822061	0.331342565808649	-4.19685896626903	2.70642349797266e-05	9.85781835911269e-05	mpp5a
gene877:LOC106602600	1357.35040876	1.37718474872127	0.17996395931274	7.65255862329641	1.97019240608577e-14	2.43518769047072e-13	LOC106602600
gene878:LOC106602627	782.222785796523	-3.43580881087359	0.326312389083384	-10.5292012372709	6.33699124168514e-26	2.43385253932941e-24	sptb
gene883:LOC100195778	195.37507966183	-1.25038725542176	0.334707545728073	-3.7357605807836	0.000187148666518793	0.000581419091758703	ptgr2
gene908:LOC106603776	56.695638358258	-1.11477462315075	0.264038872915402	-4.22200947474852	2.42133929015995e-05	8.91907592156208e-05	rps6ka5
gene912:LOC106603664	500.495488862509	-1.22496835263487	0.382820822446822	-3.19984776377996	0.00137500194182026	0.00356923938241612	dtnbb
gene915:LOC106603641	10.9522278456719	-3.28874606642199	1.16394056242655	-2.82552749907239	0.00472028361140029	0.0108812382755376	mapre3a
gene923:LOC100286572	10.9797344460066	4.44985282837265	1.05833705335899	4.20457057064149	2.615783161287e-05	9.55138443275813e-05	myct1
gene924:LOC106603506	394.632681356696	-2.70182861228594	0.418796293178665	-6.45141481978997	1.1081072722785e-10	8.79026539347605e-10	LOC106603506
gene929:LOC100380381	1281.97197501946	3.27369534505873	0.299065102904679	10.9464304369278	6.91179919905205e-28	3.07292308936037e-26	stx11
gene933:LOC106603468	65.1288656966561	-2.49650838409019	0.460345995872819	-5.4231130638093	5.85699191496273e-08	3.23511512354161e-07	sash1b
gene934:LOC106603443	1155.03386308201	1.17032721058449	0.390565626326492	2.99649311587436	0.0027310440434134	0.00664486114144938	stxbp5b
gene941:LOC106603381	59.7851241523483	-3.82334372559534	0.681113797492541	-5.61336995325985	1.98423740104516e-08	1.1698508752033e-07	LOC106603381
gene943:LOC106603355	177.060774594888	-1.68809383089918	0.261083728573146	-6.4657182587548	1.00818768520849e-10	8.05644097142502e-10	afg1la
gene946:LOC106603291	98.567316796189	-1.61237167959126	0.36928895458739	-4.36615192402051	1.26454542099799e-05	4.89196523247779e-05	slc5a6b
